,hodl,hourly,daily,weekly,monthly
PRO-GLD-UPP-HMQ-OK,2941.4598997676985,14924.789954375747,11824.672609884925,15420.71174779455,6585.800903044743
BLK-DASH-GRS-PPC-EMC2,3261.2516660476017,7030.244622351559,5687.512553493685,4528.534235343542,3539.2078444398835
QRL-TIX-QTUM-PPC-ION,2778.2662054925645,6013.036865007774,5146.228347553416,4770.657014814743,3260.262006283421
BSD-SEQ-GBYTE-COVAL-SWIFT,2942.5507564170953,12427.160408069678,5627.435218869744,3868.5065689472,3171.969685707826
STORM-PAL-BAT-SIB-LUN,2991.658244557264,17696.848973300184,7162.006871958501,6690.8989253050195,4882.559760864507
DMT-PART-MCO-VRM-SYS,3375.877736985382,8079.808861053184,6978.037266597605,5987.152807483564,3749.332051699928
DNT-QWARK-SLR-RVN-INCNT,3297.1624256892187,33647.50462007876,18331.922366574818,26227.97180246473,4924.080610224519
STORM-OMG-NMR-ARDR-BITB,2642.2931929560464,5747.21417922058,4745.539523492267,3897.045687667975,3262.0755052013787
RVR-STORJ-XEL-GAME-DGB,2551.2682639120762,4887.340638862786,4155.7476861215255,3609.1292048148403,3229.1970162996085
AID-BNT-BLOCK-SWT-DTA,2575.509609471942,26945.35300711081,7784.537216069448,5503.964341809802,3808.5646118382238
BTC-ETC-BSD-SIB-GUP,2792.6064103819535,7054.863720480122,4365.1802392703785,4132.147331195576,3267.5063659817297
GAM-UKG-VRM-VIB-PINK,2912.5477685438013,8520.972795813708,6448.831533346987,5120.337164276418,4477.935874098921
FLDC-SRN-XVG-PAL-SPC,2376.2648901622306,7.508314501508709e+60,12968.32385194874,12270.714947946399,4675.248102367087
NXT-EBST-EMC2-XNK-POT,2821.3156471060465,63030.997304620534,9366.73922478356,4975.774234862138,3230.9582461769505
SPHR-BCPT-ZEN-REP-OMG,2612.839428308045,6199.275875120079,5401.223943505804,4589.282227489983,3473.5712835286326
GBYTE-CBC-POLY-PINK-ADT,3444.9243192800445,8674.618431528492,6897.256161099102,6225.05138469078,4928.689974086497
BKX-WAVES-BRX-XEL-DOPE,3020.0194082557564,10103.281348647835,7881.965341985287,6363.193142150319,3633.5059182629907
EXCL-XVG-XMR-XNK-FLDC,2933.6874733434283,123804.85567888874,13357.023035267704,6051.574309440269,3527.6382607364367
EDG-GAM-ARK-DASH-XLM,2609.570190339516,4460.707575150084,3951.8844327899797,3548.493045920507,3189.3950097045836
XVG-HMQ-XNK-WAVES-ION,3266.013683036721,103090.72835414822,15026.747447161168,7608.378270593026,4815.200621512924
THC-BOXX-CBC-SYNX-ION,2482.354281025237,10066.990803845842,7361.728855191955,6316.070942937135,4071.1128325809163
MTL-ZEC-ZCL-RCN-RFR,2426.580461486372,6212.59362732993,5628.024959750619,4678.956596993302,3229.9689714160663
RADS-PPC-NLC2-BSD-XZC,2691.749437348673,9698.989273654825,6001.312385279205,5183.83658830966,3597.7127586003007
